mpi_procs;grid_tiles_x;grid_tiles_y;omp_threads;domain_size;n_iterations;disk_write_intensity;airflow;material_file;output_file;simulation_mode;middle_col_avg_temp;total_time;iteration_time
1;1;1;1;256;7812;50;0.001;input_data_256.h5;;seq;43.2812;2.64286;0.000338308
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmihol00/461999/256x256_out_hybrid_1d_seq.h5;seq;43.2812;2.74412;0.00035127
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmihol00/461999/256x256_out_hybrid_1d_seq.h5;seq;43.2812;2.74158;0.000350945
1;1;1;1;256;7812;50;0.001;input_data_256.h5;;seq;43.2812;2.69724;0.000345269
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmihol00/461999/256x256_out_hybrid_1d_seq.h5;seq;43.2812;2.74076;0.00035084
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/dd-23-135/xmihol00/461999/256x256_out_hybrid_1d_seq.h5;seq;43.2812;2.74075;0.000350839
1;1;1;1;512;3906;50;0.001;input_data_512.h5;;seq;28.3793;5.42252;0.00138825
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/461999/512x512_out_hybrid_1d_seq.h5;seq;28.3793;5.49003;0.00140554
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/461999/512x512_out_hybrid_1d_seq.h5;seq;28.3793;5.48431;0.00140407
1;1;1;1;512;3906;50;0.001;input_data_512.h5;;seq;28.3793;5.41425;0.00138614
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/461999/512x512_out_hybrid_1d_seq.h5;seq;28.3793;5.48457;0.00140414
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/461999/512x512_out_hybrid_1d_seq.h5;seq;28.3793;5.48231;0.00140356
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;;seq;22.9994;13.316;0.00681824
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/461999/1024x1024_out_hybrid_1d_seq.h5;seq;22.9994;13.2878;0.0068038
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/461999/1024x1024_out_hybrid_1d_seq.h5;seq;22.9994;13.307;0.0068136
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;;seq;22.9994;13.1709;0.00674393
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/461999/1024x1024_out_hybrid_1d_seq.h5;seq;22.9994;13.3105;0.00681542
1;1;1;1;1024;1953;50;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/461999/1024x1024_out_hybrid_1d_seq.h5;seq;22.9994;13.2871;0.00680341
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;;seq;21.0745;26.7033;0.0273599
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/461999/2048x2048_out_hybrid_1d_seq.h5;seq;21.0745;26.9556;0.0276184
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/461999/2048x2048_out_hybrid_1d_seq.h5;seq;21.0745;26.9573;0.0276202
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;;seq;21.0745;26.6975;0.027354
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/461999/2048x2048_out_hybrid_1d_seq.h5;seq;21.0745;26.9486;0.0276113
1;1;1;1;2048;976;50;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/461999/2048x2048_out_hybrid_1d_seq.h5;seq;21.0745;26.9624;0.0276254
1;1;1;1;4096;488;50;0.001;input_data_4096.h5;;seq;20.387;52.4769;0.107535
